"Ürün","Kategori","Alt Kategori","Saklama Koşulu","Raf Ömrü","Stok","Satış Fiyatı","Rezerv","Statü"
"Gourmet Garage Paşa Mezesi (200 g)","Yiyecek","Meze","+4","21","0","₺23,95","","İnaktif"
"Tat Salatalık Turşusu (350 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1080","0","₺10,95","","Aktif"
"Tat Mayonez (205 g)","Temel Gıda","Salça & Sos","Oda Koşulları","360","0","₺9,35","","İnaktif"
"Çerezza Acılı Süper Boy (117 g)","Atıştırmalık","Cips","Oda Koşulları","120","27","₺6,59","","Aktif"
"Karışık Meyve Tabağı (1 kg)","Meyve & Sebze","Meyve","+4","7","0","₺20,95","","İnaktif"
"Lüks Meyve Tabağı (500 g)","Meyve & Sebze","Meyve","+4","7","0","₺32,95","","Aktif"
"Beyoğlu Gazozu Karışık Meyveli (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","545","4","₺21,50","","Aktif"
"CRS 3 Katlı Cerrahi Maske (50'li)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","365","25","₺29,90","","Aktif"
"Sensodyne Diş Macunu Seti (2 Ürün)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺36,90","","Aktif"
"Loveit Frambuazlı Meyveli Bisküvi (88 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","16","₺4,30","","Aktif"
"Tadım Çerez Kasesi (2'li)","Atıştırmalık","Kuruyemiş","Oda Koşulları","","0","₺19,95","","İnaktif"
"Fast Company","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","30","2","₺16,00","","Aktif"
"Burpak Jelatinli Kürdan (500 Adet)","Ev & Yaşam","Piknik","Oda Koşulları","","30","₺9,95","","Aktif"
"Penti Kadın İç Çamaşırı Slip Tango Kırmızı Lacy Dream (Beden: L)","Giyim","Kadın İç Giyim","Oda Koşulları","","0","₺24,90","","Aktif"
"Penti Kadın İç Çamaşırı Slip Tango Kırmızı Lacy Dream (Beden: M)","Giyim","Kadın İç Giyim","Oda Koşulları","","0","₺24,90","","Aktif"
"Penti Kadın İç Çamaşırı Slip Tango Kırmızı Lacy Dream (Beden: S)","Giyim","Kadın İç Giyim","Oda Koşulları","","0","₺24,90","","Aktif"
"Beemedic Sıcak Su Torbası (2 L)","Ev & Yaşam","Diğer","Oda Koşulları","","5","₺25,90","","Aktif"
"Urban Care Intense & Keratin Seti & Hediye Makyaj Çantası (3 Ürün)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺49,90","","Aktif"
"Çerezza Kase","Ev & Yaşam","Mutfak Ürünleri","Oda Koşulları","","20","₺9,95","","İnaktif"
"Tombala","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","38","₺9,95","","İnaktif"
"Nestlé 1927 Latte Çikolatalı Gofret (32 g)","Atıştırmalık","Gofret","Oda Koşulları","365","0","₺2,50","","Aktif"
"Sırma 'Bittin Sen 2020' Özel Tasarım Cam Şişe Su (330 ml)","Su & İçecek","Su","Oda Koşulları","365","12","₺2,95","","İnaktif"
"O'lala Gurme Karamelli Kek (70 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","12","₺4,95","","Aktif"
"Beyoğlu Ginger Ale Zencefil & Misket Limonu Aromalı İçecek (250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","720","0","₺5,95","1","Aktif"
"Ülker Çizi Peynirli Kremalı Milföy Börek (28 g)","Atıştırmalık","Kraker & Kurabiye","Oda Koşulları","255","19","₺1,50","","Aktif"
"Kadınların Elinden Karışık Sebzeli Tarhana (500 g)","Temel Gıda","Çorba","Oda Koşulları","365","0","₺26,00","","Aktif"
"O'lala Gurme Kırmızı Kadifeli Kek (70 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","17","₺4,95","","Aktif"
"Nesquik Kakaolu Süt (180 ml)","Süt & Kahvaltı","Süt","Oda Koşulları","270","0","₺3,95","","Aktif"
"Nescafé 3'ü 1 Arada Keyf-i Türk (18,5 g)","Su & İçecek","Kahve","Oda Koşulları","365","0","₺1,25","","İnaktif"
"Nestlé Classic Sütlü Hindistan Cevizli Çikolata (30 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺3,25","","Aktif"
"Nestlé Damak Paylaşımlık Çikolata (160 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","0","₺17,95","","Aktif"
"Kadınların Elinden Vakumlu Siyah Padişah Zeytin (500 g)","Süt & Kahvaltı","Zeytin","Oda Koşulları","365","0","₺25,00","","Aktif"
"Lüks Tombala (1 Ürün)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺47,90","","Aktif"
"Yılbaşı Seti (3'lü)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺27,90","","İnaktif"
"Master Oyun Kartı (1 Ürün)","Ev & Yaşam","Oyun & Oyuncak","Oda Koşulları","","0","₺11,96","","Aktif"
"Jelibon Mini Meyve (80 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","549","0","₺5,25","","Aktif"
"Saray 100 Kalori Vanilya Kremalı ve Kakao Kremalı Gofret (144 g)","Atıştırmalık","Gofret","Oda Koşulları","365","0","₺4,65","","Aktif"
"Loveit Çikolata Kremalı Bisküvi (88 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","20","₺4,30","","Aktif"
"Persil Jel Sıvı Çamaşır Deterjanı Yüksek Performans Hijyen 22 Yıkama (1540 ml)","Ev Bakım","Çamaşır","Oda Koşulları","","5","₺38,99","","Aktif"
"Evony 3 Katlı Cerrahi Maske (50'li)","Kişisel Bakım","Genel Sağlık","Oda Koşulları","","0","₺29,90","","Aktif"
"Ariste Peynir Tabağı (450 g)","Süt & Kahvaltı","Peynir","+4","150","0","₺62,50","","İnaktif"
"Uno Grissuno Yulaflı Karabuğdaylı (150 g)","Fırından","Unlu Mamüller","Oda Koşulları","365","4","₺12,45","","Aktif"
"Doğadan Cam Demlik (800 ml)","Su & İçecek","Çay","Değerli Ürün","1080","6","₺25,00","","İnaktif"
"Kiri Sürülebilir Tam Yağlı Taze Peynir Mini (20 g)","Süt & Kahvaltı","Peynir","+4","180","0","₺2,20","","Aktif"
"Erüst Lolorosso (1 Adet)","Meyve & Sebze","Sebze","+4","6","0","₺5,45","","Aktif"
"Nescafé Latte 10 Al 8 Öde (10'lu)","Su & İçecek","Kahve","Oda Koşulları","365","1","₺9,35","","Aktif"
"Carte d'Or Selection Krem Karamel (850 ml)","Dondurma","Kutu","-18","720","0","₺23,90","","Aktif"
"Nivea Kadın Invisible Black & White Clear Sprey Deodorant (200 ml)","Kişisel Bakım","Deodorant","Oda Koşulları","","0","₺21,90","","Aktif"
"Peyman Bahçeden Kavrulmuş Antep Fıstığı (150 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","2","₺27,50","","Aktif"
"Marmara Limon Kolonyası Sprey (200 ml)","Kişisel Bakım","Kolonya","Oda Koşulları","1080","10","₺14,95","","Aktif"
"Voi House Blend Filtre Kahve (200 g)","Su & İçecek","Kahve","Oda Koşulları","720","0","₺45,00","","Aktif"
"Tat Garnitür (550 g)","Yiyecek","Konserve & Turşu","Oda Koşulları","1080","1","₺10,15","","Aktif"
"S.Pellegrino Aranciata (4 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","360","2","₺34,45","","Aktif"
"Inbusiness","Ev & Yaşam","Gazete & Dergi","Oda Koşulları","30","0","₺17,00","","Aktif"
"Pernigotti Soğuk Çanta","","","","","4","","","İnaktif"
"Uğur 330 Dikey Dolap","","","","","0","","","İnaktif"
"Pürsu Su (1,5 L)","Su & İçecek","Su","Oda Koşulları","365","36","₺2,95","6","Aktif"
"Godiva Chocolate Domes Fındıklı (123 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","6","₺33,60","","Aktif"
"Nilson Topraklı Uzatma Kablosu (3'lü)","Ev & Yaşam","Elektrik & Aydınlatma","Oda Koşulları","","3","₺49,90","","Aktif"
"Nilson Golyat Priz (3'lü)","Ev & Yaşam","Elektrik & Aydınlatma","Oda Koşulları","","8","₺23,90","","Aktif"
"Uno Kakaolu Pastaban 2 Katlı (250 g)","Temel Gıda","Pasta Malzemeleri","Oda Koşulları","100","4","₺15,95","","Aktif"
"Ülker Hanımeller Çokodolu Fındıklı (150 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","365","0","₺4,95","","Aktif"
"Toblerone (360 g)","Atıştırmalık","Çikolata","Oda Koşulları","457","0","₺28,95","","Aktif"
"Danone Pro+ Yüksek Proteinli Dondurma Yer Fıstıklı Çikolatalı (120 ml)","Dondurma","Kutu","-18","730","0","₺12,80","","Aktif"
"Knorr Refika’dan Erişteli Tarhana Çorbası (85 g)","Temel Gıda","Çorba","Oda Koşulları","450","0","₺6,95","","Aktif"
"Knorr Refika’dan Mantarlı Kuskuslu Tavuk Çorbası (75 g)","Temel Gıda","Çorba","Oda Koşulları","450","0","₺7,65","","Aktif"
"Tadım Favori Karışık Kuruyemiş (180 g)","Atıştırmalık","Kuruyemiş","Oda Koşulları","180","10","₺15,75","1","Aktif"
"Sek Süt Beyaz Taze Peynir (180 g)","Süt & Kahvaltı","Peynir","+4","180","0","₺11,95","","İnaktif"
"Verita Nar Tanesi (125 g)","Meyve & Sebze","Meyve","+4","7","10","₺16,95","","Aktif"
"Erikli Su (6 x 1 L)","Su & İçecek","Su","Oda Koşulları","365","81","₺11,95","","Aktif"
"S.Pellegrino Aranciata Rossa (4 x 200 ml)","Su & İçecek","Maden Suyu","Oda Koşulları","365","6","₺34,45","","Aktif"
"Pürsu Cam Şişe Su (750 ml)","Su & İçecek","Su","Oda Koşulları","365","53","₺7,45","","Aktif"
"First 60 Dk Yeşil Nane Aromalı Şekersiz Sakız (64 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","549","0","₺16,95","","Aktif"
"First Sensations Karpuz Aromalı Sakız (27 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","720","10","₺6,50","","Aktif"
"First X-Fresh Karpuz Aromalı Şekersiz Sakız (64 g)","Atıştırmalık","Sakız & Şekerleme","Oda Koşulları","549","0","₺16,95","","Aktif"
"Disney Boyama Kitabı (1 Adet)","Süt & Kahvaltı","Yoğurt","Oda Koşulları","","0","₺9,95","","İnaktif"
"Urban Care Argan Şampuan Seyahat Boy (50 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺7,95","","Aktif"
"Urban Care Argan Sıvı Saç Bakım Kremi Seyahat Boy (75 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺10,95","","Aktif"
"Urban Care Intense Şampuan Seyahat Boy (50 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺12,95","","Aktif"
"Urban Care Biotin Şampuan Seyahat Boy (50 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺7,95","","Aktif"
"Doğadan Adaçayı Poşet Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","0","₺9,25","","Aktif"
"Doğadan Ihlamur Poşet Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","0","₺9,95","","Aktif"
"Elidor Anında Onarıcı Bakım Şampuan (200 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","1080","0","₺7,95","","İnaktif"
"Signal Bambu Diş Fırçası (Tekli)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺44,90","","Aktif"
"Cerrahi Maske 50 Adet","","","Oda Koşulları","730","12","","","İnaktif"
"Kinder Bueno (43 g)","Atıştırmalık","Çikolata","Oda Koşulları","270","22","₺8,95","","Aktif"
"Kinder Surprise T1 (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","300","41","₺9,90","","Aktif"
"Kinder Joy T1 Kızlara Özel (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","300","8","₺6,50","","Aktif"
"Captain Universal A4 Beyaz Fotokopi Kağıdı (500 Sayfa)","Ev & Yaşam","Kırtasiye","Oda Koşulları","","0","₺21,90","","Aktif"
"Domestos Pratik Yüzey Spreyi (200 ml)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺21,50","","Aktif"
"ttec Soho Kumandalı ve Mikrofonlu Kulakiçi Kulaklık (Beyaz)","Teknoloji","Müzik","Oda Koşulları","","0","₺59,90","","Aktif"
"Cif Tüm Yüzeyler Jel Çiçek Ferahlığı (750 ml)","Ev Bakım","Temizlik","Oda Koşulları","360","18","₺17,95","","Aktif"
"Uno Ekşi Mayalı Gurme Hamburger Ekmeği (4'lü)","Fırından","Unlu Mamüller","Oda Koşulları","11","0","₺11,95","","Aktif"
"Uno Ekşi Mayalı Tam Buğday Ekmeği (450 g)","Fırından","Unlu Mamüller","Oda Koşulları","14","9","₺12,25","","Aktif"
"Sprite Şekersiz (1 L)","Su & İçecek","Gazlı İçecek","Oda Koşulları","150","0","₺5,95","","İnaktif"
"Erüst Atıştırmalık Mini Mix (250 g)","Meyve & Sebze","Sebze","+8-12","8","0","₺10,95","","Aktif"
"Kestane (500 g)","Meyve & Sebze","Meyve","+8-12","15","16","₺23,45","","Aktif"
"Gliss Bio-Tech Restore Saç Kremi (360 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺27,50","","Aktif"
"Gliss Bio-Tech Güçlendirici Şampuan (500 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺17,95","","Aktif"
"Gliss Serum Deep Repair Şampuan (500 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","4","₺17,95","","Aktif"
"Pril Hijyen Sıvı Bulaşık Deterjanı (653 ml)","Ev Bakım","Bulaşık","Oda Koşulları","","38","₺13,75","","Aktif"
"Carte d'Or Classic Kaymaklı (925 ml)","Dondurma","Kutu","-18","730","0","₺22,90","","Aktif"
"Monster Enerji İçeceği (355 ml)","Su & İçecek","Enerji İçeceği","Oda Koşulları","720","0","₺9,95","","Aktif"
"Mr. NO Mozzarellalı Focaccia (150 g)","Yiyecek","Sandviç","+4","10","0","₺22,90","","İnaktif"
"Green Life Kış Keyfi Dökme Bitki Çayı (120 g)","Su & İçecek","Çay","Oda Koşulları","720","0","₺23,95","","Aktif"
"Oral-B D100 Vitality Siyah Cross Action Şarj Edilebilir Diş Fırçası (Tekli)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺259,90","","Aktif"
"Dalin Şampuan Klasik (400 ml)","Bebek","Bebek Bakım","Oda Koşulları","","0","₺15,95","","Aktif"
"Asil Fırın Frenk Üzümlü Beyaz Çikolatalı Kurabiye (200 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","0","₺19,95","","Aktif"
"Asil Fırın Kandil Simidi (300 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","Sayımda","₺15,95","","Aktif"
"Asil Fırın Vanilyalı Çikolata Dolgulu Çubuk Kurabiye (300 g)","Fırından","Unlu Mamüller","Oda Koşulları","180","Sayımda","₺18,75","","Aktif"
"Mr. NO Bol Kaşarlı Tost (145 g)","Yiyecek","Sandviç","+4","10","0","₺11,90","","İnaktif"
"Mr. No Kavurmalı Bazlama (175 g)","Yiyecek","Sandviç","+4","10","0","₺24,90","","İnaktif"
"Mr. NO Tavuklu Dürüm (180 g)","Yiyecek","Sandviç","+4","10","0","₺19,90","","İnaktif"
"Mr. NO Kavurmalı Dürüm (170 g)","Yiyecek","Sandviç","+4","10","0","₺27,90","","İnaktif"
"Mr. NO Bol Sucuklu Kaşarlı Tost (160 g)","Yiyecek","Sandviç","+4","10","0","₺13,90","","İnaktif"
"Lay's Fırından Haşhaş & Kırmızı Biber Süper Boy (96 g)","Atıştırmalık","Cips","Oda Koşulları","150","23","₺6,89","1","Aktif"
"Raffaello (40 g)","Atıştırmalık","Çikolata","Oda Koşulları","270","17","₺9,95","","Aktif"
"Kinder Joy T1 Erkeklere Özel (20 g)","Atıştırmalık","Çikolata","Oda Koşulları","300","21","₺6,50","","Aktif"
"McVitie's Tam Buğdaylı Sütlü Çikolatalı (93 g)","Atıştırmalık","Kek & Bisküvi","Oda Koşulları","270","10","₺7,75","","Aktif"
"Raffaello (150 g)","Atıştırmalık","Çikolata","Oda Koşulları","270","0","₺37,90","","Aktif"
"Sofia 3 Katlı Tuvalet Kağıdı (12'li)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺19,95","","İnaktif"
"Eti Gold Bütün Antep Fıstıklı Karamelize Beyaz Çikolata (60 g)","Atıştırmalık","Çikolata","Oda Koşulları","365","15","₺8,25","","Aktif"
"Familia Peçete (200'lü)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺16,95","","Aktif"
"Familia Plus 3 Katlı Kağıt Havlu (6'lı)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺28,90","2","Aktif"
"Familia Plus 3 Katlı Tuvalet Kağıdı (12'li)","Ev Bakım","Kağıt Ürünleri","Oda Koşulları","","0","₺25,90","","İnaktif"
"Pink Lady Elma (750 g)","Meyve & Sebze","Meyve","+8-12","7","0","₺8,25","","Aktif"
"Erüst Mini Yedikule Marulu (2 Adet)","Meyve & Sebze","Sebze","+4","10","29","₺9,45","","Aktif"
"Erüst Ayıklanmış Sebze Tabağı (500 g)","Meyve & Sebze","Sebze","+4","10","0","₺22,40","","Aktif"
"Erüst Fesleğen (25 g)","Meyve & Sebze","Sebze","+4","7","2","₺9,95","1","Aktif"
"Erüst Kekik (25 g)","Meyve & Sebze","Sebze","+4","10","0","₺9,95","","Aktif"
"Erüst Kavurmalık Ege Otları (300 g)","Meyve & Sebze","Sebze","+4","8","2","₺14,95","","Aktif"
"Erüst Karışık Akdeniz Salata (150 g)","Meyve & Sebze","Sebze","+4","10","23","₺11,45","","Aktif"
"Erüst Rozmarin (25 g)","Meyve & Sebze","Sebze","+4","15","0","₺9,95","","Aktif"
"Eti Süt Burger Sütlü Kakaolu Krema Dolgulu Ballı Kek (35 g)","Atıştırmalık","Kek & Bisküvi","+4","60","39","₺2,25","","Aktif"
"Ferrero Rocher Fındıklı Çikolata (200 g)","Atıştırmalık","Çikolata","Oda Koşulları","240","5","₺59,90","","Aktif"
"Ferrero Rocher Fındıklı Çikolata (38 g)","Atıştırmalık","Çikolata","Oda Koşulları","240","9","₺10,65","","Aktif"
"Sıkmalık Portakal (1 kg)","Meyve & Sebze","Meyve","+8-12","10","13","₺7,95","","Aktif"
"Nar (900 g)","Meyve & Sebze","Meyve","+8-12","10","11","₺11,95","","Aktif"
"Portakal (1 kg)","Meyve & Sebze","Meyve","+8-12","10","0","₺8,45","","Aktif"
"Scotch Brite Temizlik Eldiveni Tekli (Orta Boy)","Ev Bakım","Temizlik","Oda Koşulları","","0","₺17,95","","Aktif"
"Green Life Adaçayı Dökme Bitki Çayı (50 g)","Su & İçecek","Çay","Oda Koşulları","720","0","₺12,95","","Aktif"
"Green Life Ihlamur Çiçeği Dökme Bitki Çayı (50 g)","Su & İçecek","Çay","Oda Koşulları","720","0","₺29,95","","Aktif"
"Bahçıvan Probiyotik Süzme Peynir (500 g)","Süt & Kahvaltı","Peynir","+4","90","0","₺24,90","","Aktif"
"Bahçıvan Laktozsuz Labne Peyniri (200 g)","Süt & Kahvaltı","Peynir","+4","180","0","₺13,95","","Aktif"
"Pringles Peynir & Soğan (165 g)","Atıştırmalık","Cips","Oda Koşulları","450","11","₺17,79","","Aktif"
"Aslı Börek Dondurulmuş Peynirli Su Böreği (800 g)","Fırından","Donuk Fırın","-18","365","0","₺29,90","","İnaktif"
"Aslı Börek Peynirli Poğaça (75 g)","Fırından","Taze Fırın","-18","180","0","₺3,45","","Aktif"
"Doğanay Acılı Şalgam (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","360","11","₺6,45","","Aktif"
"Doğanay Acısız Şalgam (1 L)","Su & İçecek","Meyve Suyu","Oda Koşulları","360","15","₺6,45","","Aktif"
"Durex Intense (4'lü)","Cinsel Sağlık","Prezervatif","Oda Koşulları","1825","0","₺9,95","","Aktif"
"Lux Hidrofil Pamuk (100 g)","Kişisel Bakım","Vücut & El Bakım","Oda Koşulları","1825","6","₺8,95","2","Aktif"
"Sensodyne Hassasiyet ve Diş Eti Diş Macunu (2 x 75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺34,90","","İnaktif"
"Lux Pamuk Makyaj Temizleme Pedi (70'li)","Kişisel Bakım","Kozmetik","Oda Koşulları","1825","49","₺8,95","","Aktif"
"Wee Baby Yeşil Şeffaf Desenli Damaklı Emzik (No: 2)","Bebek","Biberon & Emzik","Oda Koşulları","1825","6","₺12,25","","Aktif"
"Lux Pamuklu Kulak Temizleme Çubuğu (200'lü)","Kişisel Bakım","Kozmetik","Oda Koşulları","1460","4","₺8,95","","Aktif"
"Ayva (600 g)","Meyve & Sebze","Meyve","+8-12","10","9","₺7,95","","Aktif"
"Urban Care Argan Yağlı Saç Bakım Şampuanı (450 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺29,90","","Aktif"
"Urban Care Argan Yağlı Saç Bakım Kremi (450 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺29,90","","Aktif"
"Urban Care Seyahat Seti (4 x 50 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺19,95","","İnaktif"
"Finish Bulaşık Makinesi Tuzu (1,5 kg)","Ev Bakım","Bulaşık","Oda Koşulları","720","0","₺14,95","","Aktif"
"Finish Parlatıcı Normal (400 ml)","Ev Bakım","Bulaşık","Oda Koşulları","720","0","₺27,90","","Aktif"
"Chips Master Kabuklu Yoğurt ve Mevsim Yeşillikleri Patates Cipsi Super Plus Boy (104 g)","Atıştırmalık","Cips","Oda Koşulları","180","18","₺5,99","","Aktif"
"Chips Master Kabuklu Klasik Patates Cipsi Super Plus Boy (104 g)","Atıştırmalık","Cips","Oda Koşulları","180","9","₺5,99","2","Aktif"
"Chips Master Kabuklu Baharatlı Patates Cipsi Super Plus Boy (104 g)","Atıştırmalık","Cips","Oda Koşulları","180","12","₺5,99","","Aktif"
"Simit (100 g)","Fırından","Taze Fırın","Oda Koşulları","365","0","₺2,49","","Aktif"
"Doritos Hotwave 3D Barbekü Sos ve Acı Biber Aromalı Mısır Cipsi Süper Boy (107 g)","Atıştırmalık","Cips","Oda Koşulları","120","0","₺6,29","","Aktif"
"Bepanthol Cilt Bakım Kremi + Onarıcı Bakım Merhemi (2 Ürün)","Kişisel Bakım","Vücut & El Bakım","Oda Koşulları","","0","₺54,90","","İnaktif"
"Elidor Gün Boyu Hacimli Saçlar Şampuanı by Elvin Levinler (650 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","","0","₺17,35","","Aktif"
"Kivi (250 g)","Meyve & Sebze","Meyve","+8-12","7","16","₺6,95","","Aktif"
"Orkid Platinum Hijyenik Ped Uzun Süper Ekonomik (20'li)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","18","₺31,90","","Aktif"
"Colgate Aktif Kömür Paketi (2 Ürün)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺19,95","","Aktif"
"Oral-B Diş Eti ve Diş Minesi Onarım Orijinal Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","11","₺34,90","","Aktif"
"Orkid Platinum Hijyenik Ped Normal Süper Ekonomik (24'lü)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","7","₺31,90","","Aktif"
"Le Petit Marseillais Vanilya Sütü & Listerine Cool Mint İkilisi (2 Ürün)","Kişisel Bakım","Duş & Banyo","Oda Koşulları","","0","₺16,95","","Aktif"
"Oral-B Professional Diş Eti ve Diş Minesi Pro-Onarım Diş Macunu (75 ml)","Kişisel Bakım","Ağız Bakım","Oda Koşulları","","0","₺35,90","","Aktif"
"Orkid Platinum Hijyenik Ped Gece Süper Ekonomik (16'lı)","Kişisel Bakım","Hijyenik Ped","Oda Koşulları","","31","₺31,90","1","Aktif"
"Julius Meinl Prasident Blend Ground Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","360","7","₺47,45","","Aktif"
"Julius Meinl Espresso Kapsülü Crema Yoğunluk 8 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","360","6","₺51,65","","Aktif"
"Julius Meinl Jubilaum Blend Ground Filtre Kahve (250 g)","Su & İçecek","Kahve","Oda Koşulları","360","4","₺64,45","","Aktif"
"Julius Meinl Espresso Kapsülü Lungo Classico Yoğunluk 4 (10'lu)","Su & İçecek","Kahve","Oda Koşulları","360","4","₺51,65","","Aktif"
"Skittles Meyveli Draje Şekerleme (38 g)","Atıştırmalık","Sakız & Şekerleme","+18 maksimum","730","0","₺4,75","","Aktif"
"Nestlé Damak Giftbox Çikolata (176 g)","Atıştırmalık","Çikolata","Oda Koşulları","360","0","₺24,95","","Aktif"
"ttec Type-C Lightning MFi Şarj Kablosu Beyaz (150 cm)","Teknoloji","Şarj Aleti & Kablo","Oda Koşulları","","5","₺199,00","","Aktif"
"Uludağ Efsane Gazoz Portakallı Şekersiz (6 x 250 ml)","Su & İçecek","Gazlı İçecek","Oda Koşulları","180","0","₺20,10","","Aktif"
"Herby Bodyguard Tea C Vitaminli Destek Çayı (20'li)","Su & İçecek","Çay","Oda Koşulları","730","0","₺19,90","","Aktif"
"Sleepy Natural Külot Bez Junior 5 Beden (24 Adet)","Bebek","Bebek Bezi","Oda Koşulları","1440","1","₺23,00","","İnaktif"
"Fairy Platinum Sıvı Bulaşık Deterjanı Limon (870 ml)","Ev Bakım","Bulaşık","Oda Koşulları","365","1","₺14,95","","İnaktif"
"Uniq2go Natural Protein Bar Chocolight Protein Bar (50 g)","Fit & Form","Bar","Oda Koşulları","365","0","₺10,95","","Aktif"
"Kahve Dünyası Kenya Filtre Kahve (200 g)","Su & İçecek","Kahve","Oda Koşulları","180","0","₺35,65","","İnaktif"
"Urban Care Kuru Şampuan (200 ml)","Kişisel Bakım","Saç Bakım","Oda Koşulları","1080","1","₺32,00","","İnaktif"
"Fairy Platinum Bulaşık Makinesi Deterjanı Kapsülü Hızlı Çözünme (24'lü)","Ev Bakım","Bulaşık","Oda Koşulları","","1","₺29,90","","Aktif"
"Tikveşli Salep (1 L)","Su & İçecek","Süt & Salep","Oda Koşulları","150","12","₺14,25","","İnaktif"
"Danone Sorbe Karadut & Limon Parçacıklı (450 ml)","Dondurma","Kutu","-18","730","5","₺16,00","","Aktif"
"Danone Yoğurtlu Dondurma Silifke Çileği & Hindistan Cevizi Parçacıklı (450 ml)","Dondurma","Kutu","-18","730","7","₺16,00","","Aktif"
"Danette Selection Dondurma Taneleri Bitter Çikolata Kaplı Bitter Çikolatalı (250 ml)","Dondurma","Kutu","-18","730","10","₺24,00","","Aktif"
"Danette Selection Dondurma Taneleri Sütlü Çikolata Kaplı Fındıklı (250 ml)","Dondurma","Kutu","-18","730","4","₺24,00","","Aktif"
"Aslı Börek Kandil Simidi (10'lu)","Fırından","Unlu Mamüller","Oda Koşulları","14","7","₺9,50","","Aktif"
"Mantar (250 g)","Meyve & Sebze","Sebze","+4","7","0","₺6,45","1","Aktif"
"Vefa Bozacısı Boza (1 L)","Su & İçecek","Süt & Salep","Oda Koşulları","15","0","₺21,95","","Aktif"
"Salkım Domates (600 g)","Meyve & Sebze","Sebze","+8-12","14","0","₺9,95","","Aktif"
"Bepanthol Onarıcı Bakım Merhemi (30 g)","Kişisel Bakım","Vücut & El Bakım","Oda Koşulları","","9","₺35,90","","Aktif"
"Bepanthol Baby Pişik Önleyici Merhem (30 g)","Bebek","Bebek Bakım","Oda Koşulları","","5","₺35,90","","Aktif"
"Milka Fındıklı Çikolata (80 g)","Atıştırmalık","Çikolata","Oda Koşulları","275","9","₺13,15","","Aktif"
